Loja;Gerente;E-mail;;
Iguatemi Esplanada;Helena;mbormolini47+helena@gmail.com;;
Shopping Midway Mall;Alice;mbormolini47+alice@gmail.com;;
Norte Shopping;Laura;mbormolini47+laura@gmail.com;;
Shopping Iguatemi Fortaleza;Manuela;mbormolini47+manuela@gmail.com;;
Shopping União de Osasco;Valentina;mbormolini47+valentina@gmail.com;;
Shopping Center Interlagos;Sophia;mbormolini47+sophia@gmail.com;;
Rio Mar Recife;Isabella;mbormolini47+isabella@gmail.com;;
Salvador Shopping;Heloisa;mbormolini47+heloisa@gmail.com;;
Rio Mar Shopping Fortaleza;Luiza;mbormolini47+luiza@gmail.com;;
Shopping Center Leste Aricanduva;Julia;mbormolini47+julia@gmail.com;;
Ribeirão Shopping;Lorena;mbormolini47+lorena@gmail.com;;
Shopping Morumbi;Livia;mbormolini47+livia@gmail.com;;
Parque Dom Pedro Shopping;Maria Luiza;mbormolini47+maria_luiza@gmail.com;;
Bourbon Shopping SP;Cecilia;mbormolini47+cecilia@gmail.com;;
Palladium Shopping Curitiba;Eloa;mbormolini47+eloa@gmail.com;;
Passei das Águas Shopping;Miguel;mbormolini47+miguel@gmail.com;;
Center Shopping Uberlândia;Arthur;mbormolini47+arthur@gmail.com;;
Shopping Recife;Heitor;mbormolini47+heitor@gmail.com;;
Shopping Vila Velha;Bernardo;mbormolini47+bernardo@gmail.com;;
Shopping SP Market;Davi;mbormolini47+davi@gmail.com;;
Shopping Eldorado;Theo;mbormolini47+theo@gmail.com;;
Shopping Ibirapuera;Lorenzo;mbormolini47+lorenzo@gmail.com;;
Novo Shopping Ribeirão Preto;Gabriel;mbormolini47+gabriel@gmail.com;;
Iguatemi Campinas;Pedro;mbormolini47+pedro@gmail.com;;
Shopping Barra;Benjamin;mbormolini47+benjamin@gmail.com;;
Diretoria;Diretoria;mbormolini47+diretoria@gmail.com;;
